,,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,fluctuation
7,15144,MUL,PADDYUNHUSKED,2015,APRIL,29269,1776,1945,1860,2015-04,CHANDRAPUR,MAHARASHTRA,169
7,17681,ARMORIDESAIGANJ,PADDYUNHUSKED,2015,JULY,39609,1500,1669,1634,2015-07,GADCHIROLI,MAHARASHTRA,169
7,31122,BHIWAPUR,PADDYUNHUSKED,2015,SEPTEMBER,2525,2163,2332,2318,2015-09,NAGPUR,MAHARASHTRA,169
12,32265,HIMAYATNAGAR,SORGUMJAWAR,2015,NOVEMBER,126,1040,1209,1126,2015-11,NANDED,MAHARASHTRA,169
17,12855,SHEGAON,WHEATHUSKED,2015,AUGUST,353,1343,1512,1470,2015-08,BULDHANA,MAHARASHTRA,169
17,14100,SHEGAON,WHEATHUSKED,2015,MARCH,1603,1334,1503,1424,2015-03,BULDHANA,MAHARASHTRA,169
7,54613,BARSHI,PADDYUNHUSKED,2014,SEPTEMBER,257,1494,1663,1632,2014-09,SOLAPUR,MAHARASHTRA,169
12,19278,RAVER,SORGUMJAWAR,2014,DECEMBER,1065,1234,1403,1358,2014-12,JALGAON,MAHARASHTRA,169
0,10052,KANNAD,BAJRI,2016,SEPTEMBER,196,1476,1644,1561,2016-09,AURANGABAD,MAHARASHTRA,168
4,49565,PHALTAN,MAIZE,2016,MARCH,1073,1333,1501,1433,2016-03,SATARA,MAHARASHTRA,168
10,11236,MAJALGAON,SAFFLOWER,2016,MARCH,46,2269,2437,2357,2016-03,BEED,MAHARASHTRA,168
17,52163,BARSHIVAIRAG,WHEATHUSKED,2016,JANUARY,37,1970,2138,1990,2016-01,SOLAPUR,MAHARASHTRA,168
0,10909,KADA,BAJRI,2015,JULY,224,1295,1463,1405,2015-07,BEED,MAHARASHTRA,168
0,11269,BEED,BAJRI,2015,MAY,1711,1297,1465,1375,2015-05,BEED,MAHARASHTRA,168
0,35953,KALVAN,BAJRI,2015,NOVEMBER,397,1329,1497,1430,2015-11,NASIK,MAHARASHTRA,168
2,28141,NARKHED,COTTON,2015,DECEMBER,16424,4158,4326,3798,2015-12,NAGPUR,MAHARASHTRA,168
2,59595,YEOTMAL,COTTON,2015,OCTOBER,10498,4005,4173,4097,2015-10,YEWATMAL,MAHARASHTRA,168
4,34400,MALEGAON,MAIZE,2015,FEBRUARY,9560,1055,1223,1166,2015-02,NASIK,MAHARASHTRA,168
4,34543,SATANA,MAIZE,2015,FEBRUARY,10825,1123,1291,1217,2015-02,NASIK,MAHARASHTRA,168
4,50872,KURDWADIMODNIMB,MAIZE,2015,APRIL,7985,1179,1347,1308,2015-04,SOLAPUR,MAHARASHTRA,168
10,25004,AUSA,SAFFLOWER,2015,MARCH,330,2448,2616,2549,2015-03,LATUR,MAHARASHTRA,168
17,6605,DHAMANGAONRLY,WHEATHUSKED,2015,JULY,590,1340,1508,1416,2015-07,AMARAVATHI,MAHARASHTRA,168
17,11242,PARLIVAIJNATH,WHEATHUSKED,2015,MARCH,87,1479,1647,1620,2015-03,BEED,MAHARASHTRA,168
17,18357,JAWALABAJAR,WHEATHUSKED,2015,JUNE,581,1514,1682,1616,2015-06,HINGOLI,MAHARASHTRA,168
17,19269,PAROLA,WHEATHUSKED,2015,DECEMBER,267,1369,1537,1390,2015-12,JALGAON,MAHARASHTRA,168
4,15009,NANDURA,MAIZE,2014,SEPTEMBER,296,1202,1370,1301,2014-09,BULDHANA,MAHARASHTRA,168
4,34290,YEOLA,MAIZE,2014,DECEMBER,92393,975,1143,1080,2014-12,NASIK,MAHARASHTRA,168
8,30616,UMARED,PIGEON PEA TUR,2014,NOVEMBER,7,3390,3558,3474,2014-11,NAGPUR,MAHARASHTRA,168
12,38270,UMARGA,SORGUMJAWAR,2014,NOVEMBER,507,1581,1749,1678,2014-11,OSMANABAD,MAHARASHTRA,168
16,24493,AUSA,SUNFLOWER,2014,DECEMBER,163,3002,3170,3126,2014-12,LATUR,MAHARASHTRA,168
0,49410,VADUJ,BAJRI,2016,JUNE,51,1711,1878,1794,2016-06,SATARA,MAHARASHTRA,167
2,60585,NARKHED,COTTON,2016,NOVEMBER,7085,4736,4903,4819,2016-11,NAGPUR,MAHARASHTRA,167
4,9384,KANNAD,MAIZE,2016,MAY,160,1233,1400,1317,2016-05,AURANGABAD,MAHARASHTRA,167
4,14157,JALGAON JAMOD,MAIZE,2016,MAY,2096,1100,1267,1200,2016-05,BULDHANA,MAHARASHTRA,167
4,22533,JAFRABAD,MAIZE,2016,SEPTEMBER,46,1000,1167,1083,2016-09,JALNA,MAHARASHTRA,167
4,60248,JALGAON JAMODAASALGAON,MAIZE,2016,NOVEMBER,2396,1050,1217,1150,2016-11,BULDHANA,MAHARASHTRA,167
4,60973,KARMALA,MAIZE,2016,NOVEMBER,3713,1120,1287,1210,2016-11,SOLAPUR,MAHARASHTRA,167
8,16882,DONDAICHA,PIGEON PEA TUR,2016,JUNE,4,5733,5900,5900,2016-06,DHULE,MAHARASHTRA,167
8,21980,BHOKARDAN,PIGEON PEA TUR,2016,MARCH,24,6750,6917,6833,2016-03,JALNA,MAHARASHTRA,167
8,58785,BORI ARAB,PIGEON PEA TUR,2016,JANUARY,204,8022,8189,8103,2016-01,YEWATMAL,MAHARASHTRA,167
12,6775,CHANDUR BAJAR,SORGUMJAWAR,2016,JUNE,83,1300,1467,1400,2016-06,AMARAVATHI,MAHARASHTRA,167
12,16682,DONDAICHA,SORGUMJAWAR,2016,JANUARY,507,1492,1659,1620,2016-01,DHULE,MAHARASHTRA,167
12,21340,JAFRABAD,SORGUMJAWAR,2016,AUGUST,114,1150,1317,1228,2016-08,JALNA,MAHARASHTRA,167
12,29907,UMARED,SORGUMJAWAR,2016,MARCH,10,1733,1900,1833,2016-03,NAGPUR,MAHARASHTRA,167
12,56252,KALYAN,SORGUMJAWAR,2016,MAY,9,2000,2167,2067,2016-05,THANE,MAHARASHTRA,167
12,59250,MAHAGAON,SORGUMJAWAR,2016,MAY,296,1554,1721,1613,2016-05,YEWATMAL,MAHARASHTRA,167
12,59913,WASHIM,SORGUMJAWAR,2016,NOVEMBER,71,1050,1217,1138,2016-11,WASIM,MAHARASHTRA,167
16,37796,KALAMB OS,SUNFLOWER,2016,JUNE,38,3060,3227,3204,2016-06,OSMANABAD,MAHARASHTRA,167
17,241,SHEVGAON,WHEATHUSKED,2016,APRIL,606,1597,1764,1764,2016-04,AHMADNAGAR,MAHARASHTRA,167
17,6455,ACHALPUR,WHEATHUSKED,2016,JULY,4416,1738,1905,1821,2016-07,AMARAVATHI,MAHARASHTRA,167
0,11310,KADA,BAJRI,2015,MAY,511,1194,1361,1297,2015-05,BEED,MAHARASHTRA,167
0,36171,YEOLA,BAJRI,2015,NOVEMBER,84,1408,1575,1504,2015-11,NASIK,MAHARASHTRA,167
2,15895,CHIMUR,COTTON,2015,MAY,48,4000,4167,4083,2015-05,CHANDRAPUR,MAHARASHTRA,167
2,31084,UMARED,COTTON,2015,OCTOBER,3050,4033,4200,4083,2015-10,NAGPUR,MAHARASHTRA,167
2,59422,VANI,COTTON,2015,NOVEMBER,85602,3888,4055,4021,2015-11,YEWATMAL,MAHARASHTRA,167
4,8756,VAIJAPUR,MAIZE,2015,JANUARY,9928,1024,1191,1123,2015-01,AURANGABAD,MAHARASHTRA,167
4,19291,YAWAL,MAIZE,2015,DECEMBER,1065,1142,1309,1210,2015-12,JALGAON,MAHARASHTRA,167
7,28376,MANDHAL,PADDYUNHUSKED,2015,FEBRUARY,811,1817,1984,1898,2015-02,NAGPUR,MAHARASHTRA,167
7,56455,VASAI,PADDYUNHUSKED,2015,NOVEMBER,740,1488,1655,1530,2015-11,THANE,MAHARASHTRA,167
8,58927,NER PARASOPANT,PIGEON PEA TUR,2015,JULY,279,7001,7168,7082,2015-07,YEWATMAL,MAHARASHTRA,167
9,56096,KALYAN,RICEPADDYHUS,2015,MARCH,18,2033,2200,2117,2015-03,THANE,MAHARASHTRA,167
12,11671,KEJ,SORGUMJAWAR,2015,OCTOBER,367,2028,2195,2116,2015-10,BEED,MAHARASHTRA,167
12,13805,LONAR,SORGUMJAWAR,2015,JUNE,1781,1061,1228,1175,2015-06,BULDHANA,MAHARASHTRA,167
12,13858,NANDURA,SORGUMJAWAR,2015,JUNE,1161,1011,1178,1122,2015-06,BULDHANA,MAHARASHTRA,167
12,14577,JALGAON JAMODAASALGAON,SORGUMJAWAR,2015,OCTOBER,140,1133,1300,1217,2015-10,BULDHANA,MAHARASHTRA,167
12,21230,JAFRABAD,SORGUMJAWAR,2015,APRIL,105,933,1100,1033,2015-04,JALNA,MAHARASHTRA,167
16,5022,TELHARA,SUNFLOWER,2015,JUNE,175,2650,2817,2675,2015-06,AKOLA,MAHARASHTRA,167
16,42829,INDAPURBHIGWAN,SUNFLOWER,2015,JUNE,14,2783,2950,2833,2015-06,PUNE,MAHARASHTRA,167
17,2570,RAHATA,WHEATHUSKED,2015,MARCH,1778,1309,1476,1380,2015-03,AHMADNAGAR,MAHARASHTRA,167
17,12949,KHAMGAON,WHEATHUSKED,2015,DECEMBER,1924,1535,1702,1644,2015-12,BULDHANA,MAHARASHTRA,167
17,13681,SHEGAON,WHEATHUSKED,2015,JULY,259,1347,1514,1469,2015-07,BULDHANA,MAHARASHTRA,167
17,20869,RAVER,WHEATHUSKED,2015,OCTOBER,67,1496,1663,1548,2015-10,JALGAON,MAHARASHTRA,167
17,55045,BHIVANDI,WHEATHUSKED,2015,APRIL,408,1513,1680,1597,2015-04,THANE,MAHARASHTRA,167
18,37066,UMARGA,WHEATUNHUSKED,2015,APRIL,58,2810,2977,2810,2015-04,OSMANABAD,MAHARASHTRA,167
18,47102,SANGLIMIRAJ,WHEATUNHUSKED,2015,AUGUST,10834,3790,3957,3873,2015-08,SANGLI,MAHARASHTRA,167
7,17951,GONDIYA,PADDYUNHUSKED,2014,NOVEMBER,3818,1315,1482,1442,2014-11,GONDIYA,MAHARASHTRA,167
7,56756,MURBAD,PADDYUNHUSKED,2014,SEPTEMBER,154,1700,1867,1600,2014-09,THANE,MAHARASHTRA,167
12,21453,JAFRABAD,SORGUMJAWAR,2014,DECEMBER,125,933,1100,1017,2014-12,JALNA,MAHARASHTRA,167
17,14835,CHIKHALI,WHEATHUSKED,2014,SEPTEMBER,4681,1338,1505,1421,2014-09,BULDHANA,MAHARASHTRA,167
17,22380,JALNA,WHEATHUSKED,2014,OCTOBER,7143,1408,1575,1517,2014-10,JALNA,MAHARASHTRA,167
17,54722,BARSHIVAIRAG,WHEATHUSKED,2014,SEPTEMBER,70,1822,1989,1967,2014-09,SOLAPUR,MAHARASHTRA,167
0,16894,SAKRI,BAJRI,2016,JUNE,38,1453,1619,1471,2016-06,DHULE,MAHARASHTRA,166
0,45223,SHIRUR,BAJRI,2016,OCTOBER,1363,1232,1398,1325,2016-10,PUNE,MAHARASHTRA,166
2,18146,AKHADABALAPUR,COTTON,2016,FEBRUARY,532,4356,4522,4439,2016-02,HINGOLI,MAHARASHTRA,166
4,13758,JALGAON JAMODAASALGAON,MAIZE,2016,JUNE,174,1167,1333,1250,2016-06,BULDHANA,MAHARASHTRA,166
4,41771,BARAMATI,MAIZE,2016,JANUARY,2557,1384,1550,1504,2016-01,PUNE,MAHARASHTRA,166
4,52935,MOHOL,MAIZE,2016,JUNE,203,1565,1731,1684,2016-06,SOLAPUR,MAHARASHTRA,166
4,61031,KHULTABAD,MAIZE,2016,NOVEMBER,1968,1042,1208,1125,2016-11,AURANGABAD,MAHARASHTRA,166
4,61725,DEVALA,MAIZE,2016,NOVEMBER,20856,1097,1263,1218,2016-11,NASIK,MAHARASHTRA,166
5,13739,CHIKHALI,MUSTARD,2016,JUNE,6,3617,3783,3700,2016-06,BULDHANA,MAHARASHTRA,166
7,12025,TUMSAR,PADDYUNHUSKED,2016,APRIL,27539,1825,1991,1905,2016-04,BHANDARA,MAHARASHTRA,166
7,17941,GONDIYA,PADDYUNHUSKED,2016,MAY,97754,1506,1672,1592,2016-05,GONDIYA,MAHARASHTRA,166
10,24266,AUSA,SAFFLOWER,2016,APRIL,147,2644,2810,2749,2016-04,LATUR,MAHARASHTRA,166
12,1510,PATHARDI,SORGUMJAWAR,2016,JANUARY,524,1578,1744,1645,2016-01,AHMADNAGAR,MAHARASHTRA,166
12,12847,SANGRAMPURVARVATBAKAL,SORGUMJAWAR,2016,AUGUST,69,1295,1461,1383,2016-08,BULDHANA,MAHARASHTRA,166
12,48007,TASGAON,SORGUMJAWAR,2016,SEPTEMBER,1350,1697,1863,1771,2016-09,SANGLI,MAHARASHTRA,166
16,5111,AKOLA,SUNFLOWER,2016,MAY,471,2957,3123,3040,2016-05,AKOLA,MAHARASHTRA,166
17,12805,MEHKAR,WHEATHUSKED,2016,AUGUST,612,1618,1784,1700,2016-08,BULDHANA,MAHARASHTRA,166
0,56090,KALYAN,BAJRI,2015,MARCH,18,1567,1733,1650,2015-03,THANE,MAHARASHTRA,166
2,30303,KALMESHWAR,COTTON,2015,NOVEMBER,61505,3938,4104,4055,2015-11,NAGPUR,MAHARASHTRA,166
2,57052,PULGAON,COTTON,2015,JANUARY,74412,3862,4028,3971,2015-01,WARDHA,MAHARASHTRA,166
2,58629,RALEGAON,COTTON,2015,DECEMBER,171958,4207,4373,4319,2015-12,YEWATMAL,MAHARASHTRA,166
4,733,AKOLE,MAIZE,2015,DECEMBER,49,1367,1533,1433,2015-12,AHMADNAGAR,MAHARASHTRA,166
4,1042,SHRIRAMPURBELAPUR,MAIZE,2015,DECEMBER,3203,1117,1283,1200,2015-12,AHMADNAGAR,MAHARASHTRA,166
4,10110,SILLOD,MAIZE,2015,SEPTEMBER,133,1367,1533,1467,2015-09,AURANGABAD,MAHARASHTRA,166
4,13825,MALKAPUR,MAIZE,2015,JUNE,6917,1027,1193,1136,2015-06,BULDHANA,MAHARASHTRA,166
4,42766,INDAPUR,MAIZE,2015,JUNE,4973,1154,1320,1299,2015-06,PUNE,MAHARASHTRA,166
7,12481,LAKHANDUR,PADDYUNHUSKED,2015,SEPTEMBER,1369,1541,1707,1631,2015-09,BHANDARA,MAHARASHTRA,166
12,2699,SHEVGAONBODHEGAON,SORGUMJAWAR,2015,MARCH,6217,1348,1514,1448,2015-03,AHMADNAGAR,MAHARASHTRA,166
12,7817,ANAJNGAON SURJI,SORGUMJAWAR,2015,SEPTEMBER,60,1286,1452,1325,2015-09,AMARAVATHI,MAHARASHTRA,166
12,12603,MALKAPUR,SORGUMJAWAR,2015,APRIL,1650,1104,1270,1196,2015-04,BULDHANA,MAHARASHTRA,166
12,20460,CHALISGAON,SORGUMJAWAR,2015,NOVEMBER,370,1200,1366,1313,2015-11,JALGAON,MAHARASHTRA,166
12,49809,VADUJ,SORGUMJAWAR,2015,MAY,2900,2078,2244,2211,2015-05,SATARA,MAHARASHTRA,166
12,58074,KARANJA,SORGUMJAWAR,2015,NOVEMBER,371,1191,1357,1240,2015-11,WASIM,MAHARASHTRA,166
17,681,SHRIRAMPURBELAPUR,WHEATHUSKED,2015,AUGUST,62,1267,1433,1350,2015-08,AHMADNAGAR,MAHARASHTRA,166
17,4953,AKOT,WHEATHUSKED,2015,JUNE,2080,1305,1471,1397,2015-06,AKOLA,MAHARASHTRA,166
17,5327,PATUR,WHEATHUSKED,2015,OCTOBER,302,1417,1583,1433,2015-10,AKOLA,MAHARASHTRA,166
17,13327,JALGAON JAMOD,WHEATHUSKED,2015,JANUARY,14,1317,1483,1400,2015-01,BULDHANA,MAHARASHTRA,166
17,14852,JALGAON JAMOD,WHEATHUSKED,2015,SEPTEMBER,498,1297,1463,1380,2015-09,BULDHANA,MAHARASHTRA,166
17,49807,VADUJ,WHEATHUSKED,2015,MAY,620,1456,1622,1589,2015-05,SATARA,MAHARASHTRA,166
2,56946,SAMUDRAPUR,COTTON,2014,DECEMBER,57757,3974,4140,4018,2014-12,WARDHA,MAHARASHTRA,166
4,8431,VAIJAPUR,MAIZE,2014,DECEMBER,4084,932,1098,1012,2014-12,AURANGABAD,MAHARASHTRA,166
4,14483,SANGRAMPUR,MAIZE,2014,NOVEMBER,79,817,983,900,2014-11,BULDHANA,MAHARASHTRA,166
4,36504,SINNER,MAIZE,2014,OCTOBER,40,1092,1258,1193,2014-10,NASIK,MAHARASHTRA,166
7,35939,GHOTI,PADDYUNHUSKED,2014,NOVEMBER,180,2100,2266,2183,2014-11,NASIK,MAHARASHTRA,166
12,39693,SAILU,SORGUMJAWAR,2014,OCTOBER,288,1114,1280,1115,2014-10,PARBHANI,MAHARASHTRA,166
17,7597,DHAMANGAONRLY,WHEATHUSKED,2014,OCTOBER,1910,1321,1487,1378,2014-10,AMARAVATHI,MAHARASHTRA,166
0,19881,AMALNER,BAJRI,2016,JUNE,808,1589,1754,1751,2016-06,JALGAON,MAHARASHTRA,165
4,4935,AKOLA,MAIZE,2016,JUNE,145,1440,1605,1522,2016-06,AKOLA,MAHARASHTRA,165
4,32790,NANDURBAR,MAIZE,2016,FEBRUARY,6553,1390,1555,1484,2016-02,NANDURBAR,MAHARASHTRA,165
5,27587,UMARED,MUSTARD,2016,APRIL,15,2900,3065,2950,2016-04,NAGPUR,MAHARASHTRA,165
12,5028,AKOLA,SORGUMJAWAR,2016,MARCH,665,1294,1459,1384,2016-03,AKOLA,MAHARASHTRA,165
12,8057,PAITHAN,SORGUMJAWAR,2016,APRIL,1349,1629,1794,1690,2016-04,AURANGABAD,MAHARASHTRA,165
12,13363,KHAMGAON,SORGUMJAWAR,2016,JANUARY,1357,1260,1425,1364,2016-01,BULDHANA,MAHARASHTRA,165
12,34422,MANMAD,SORGUMJAWAR,2016,FEBRUARY,100,1444,1609,1521,2016-02,NASIK,MAHARASHTRA,165
12,60366,MAHAGAON,SORGUMJAWAR,2016,NOVEMBER,1305,1485,1650,1550,2016-11,YEWATMAL,MAHARASHTRA,165
17,5078,PATUR,WHEATHUSKED,2016,MARCH,451,1619,1784,1675,2016-03,AKOLA,MAHARASHTRA,165
17,30083,MAUDA,WHEATHUSKED,2016,MAY,186,1467,1632,1550,2016-05,NAGPUR,MAHARASHTRA,165
17,32159,BHOKAR,WHEATHUSKED,2016,MAY,48,1548,1713,1626,2016-05,NANDED,MAHARASHTRA,165
2,58586,MAHAGAON,COTTON,2015,DECEMBER,24499,4080,4245,4160,2015-12,YEWATMAL,MAHARASHTRA,165
4,13450,NANDURA,MAIZE,2015,JANUARY,1997,1087,1252,1187,2015-01,BULDHANA,MAHARASHTRA,165
4,53539,KURDWADIMODNIMB,MAIZE,2015,MAY,3647,1148,1313,1255,2015-05,SOLAPUR,MAHARASHTRA,165
7,17858,GADCHIROLI,PADDYUNHUSKED,2015,SEPTEMBER,4984,1771,1936,1903,2015-09,GADCHIROLI,MAHARASHTRA,165
7,53407,BARSHI,PADDYUNHUSKED,2015,MAY,17,1327,1492,1383,2015-05,SOLAPUR,MAHARASHTRA,165
8,7855,CHANDUR RLY,PIGEON PEA TUR,2015,SEPTEMBER,40,9018,9183,9183,2015-09,AMARAVATHI,MAHARASHTRA,165
12,24967,UDGIR,SORGUMJAWAR,2015,JUNE,138,916,1081,1036,2015-06,LATUR,MAHARASHTRA,165
17,12532,CHIKHALI,WHEATHUSKED,2015,APRIL,1928,1260,1425,1348,2015-04,BULDHANA,MAHARASHTRA,165
17,35200,LASALGAONNIPHAD,WHEATHUSKED,2015,JUNE,124,1409,1574,1496,2015-06,NASIK,MAHARASHTRA,165
17,39294,PARBHANI,WHEATHUSKED,2015,MARCH,390,1498,1663,1577,2015-03,PARBHANI,MAHARASHTRA,165
4,34132,MANMAD,MAIZE,2014,DECEMBER,71194,1002,1167,1111,2014-12,NASIK,MAHARASHTRA,165
17,5850,ACHALPUR,WHEATHUSKED,2014,DECEMBER,400,1541,1706,1623,2014-12,AMARAVATHI,MAHARASHTRA,165
0,20974,CHOPDA,BAJRI,2016,SEPTEMBER,243,1515,1679,1646,2016-09,JALGAON,MAHARASHTRA,164
0,45913,SHIRUR,BAJRI,2016,SEPTEMBER,392,1368,1532,1477,2016-09,PUNE,MAHARASHTRA,164
4,11074,KEJ,MAIZE,2016,JUNE,22,1557,1721,1562,2016-06,BEED,MAHARASHTRA,164
4,24725,LATUR,MAIZE,2016,JANUARY,1235,1344,1508,1429,2016-01,LATUR,MAHARASHTRA,164
4,61500,CHOPDA,MAIZE,2016,NOVEMBER,20700,1059,1223,1158,2016-11,JALGAON,MAHARASHTRA,164
7,17780,GADCHIROLI,PADDYUNHUSKED,2016,MAY,5274,1799,1963,1933,2016-05,GADCHIROLI,MAHARASHTRA,164
12,2668,SANGAMNER,SORGUMJAWAR,2016,MARCH,385,1686,1850,1779,2016-03,AHMADNAGAR,MAHARASHTRA,164
12,4760,AKOLA,SORGUMJAWAR,2016,JANUARY,1312,1321,1485,1404,2016-01,AKOLA,MAHARASHTRA,164
12,22464,PARTUR,SORGUMJAWAR,2016,OCTOBER,319,1705,1869,1782,2016-10,JALNA,MAHARASHTRA,164
12,39210,PATHARI,SORGUMJAWAR,2016,JUNE,337,1618,1782,1704,2016-06,PARBHANI,MAHARASHTRA,164
17,21242,JALNA,WHEATHUSKED,2016,APRIL,2383,2071,2235,2149,2016-04,JALNA,MAHARASHTRA,164
17,57192,HINGANGHAT,WHEATHUSKED,2016,MARCH,3098,1419,1583,1504,2016-03,WARDHA,MAHARASHTRA,164
18,53034,AKKOLKOT,WHEATUNHUSKED,2016,MARCH,278,2886,3050,2969,2016-03,SOLAPUR,MAHARASHTRA,164
0,3560,JAMKHED,BAJRI,2015,OCTOBER,258,1438,1602,1520,2015-10,AHMADNAGAR,MAHARASHTRA,164
0,12995,MALKAPUR,BAJRI,2015,DECEMBER,431,1268,1432,1264,2015-12,BULDHANA,MAHARASHTRA,164
0,35396,DEVALA,BAJRI,2015,MARCH,183,1260,1424,1327,2015-03,NASIK,MAHARASHTRA,164
0,44344,PUNE,BAJRI,2015,NOVEMBER,523,1860,2024,1967,2015-11,PUNE,MAHARASHTRA,164
2,32289,MAHUR,COTTON,2015,NOVEMBER,4285,3800,3964,3877,2015-11,NANDED,MAHARASHTRA,164
2,57332,WARDHA,COTTON,2015,NOVEMBER,23567,3943,4107,4107,2015-11,WARDHA,MAHARASHTRA,164
4,16981,DONDAICHA,MAIZE,2015,MARCH,2057,1033,1197,1152,2015-03,DHULE,MAHARASHTRA,164
11,19762,CHOPDA,SESAMUM,2015,JULY,33,6950,7114,7115,2015-07,JALGAON,MAHARASHTRA,164
11,59706,PUSAD,SESAMUM,2015,SEPTEMBER,22,6676,6840,6818,2015-09,YEWATMAL,MAHARASHTRA,164
12,5279,AKOT,SORGUMJAWAR,2015,OCTOBER,3550,1067,1231,1149,2015-10,AKOLA,MAHARASHTRA,164
12,13614,MALKAPUR,SORGUMJAWAR,2015,JULY,1899,1138,1302,1221,2015-07,BULDHANA,MAHARASHTRA,164
12,14184,KHAMGAON,SORGUMJAWAR,2015,MAY,2543,1001,1165,1083,2015-05,BULDHANA,MAHARASHTRA,164
12,33304,SHAHADA,SORGUMJAWAR,2015,NOVEMBER,6972,1284,1448,1541,2015-11,NANDURBAR,MAHARASHTRA,164
17,9550,GANGAPUR,WHEATHUSKED,2015,NOVEMBER,352,1580,1744,1620,2015-11,AURANGABAD,MAHARASHTRA,164
17,39217,PURNA,WHEATHUSKED,2015,JUNE,37,1344,1508,1444,2015-06,PARBHANI,MAHARASHTRA,164
17,59052,PUSAD,WHEATHUSKED,2015,JUNE,359,1497,1661,1538,2015-06,YEWATMAL,MAHARASHTRA,164
2,9594,PAITHAN,COTTON,2014,NOVEMBER,2975,3857,4021,3936,2014-11,AURANGABAD,MAHARASHTRA,164
2,57315,PULGAON,COTTON,2014,NOVEMBER,28268,3872,4036,3983,2014-11,WARDHA,MAHARASHTRA,164
12,41323,SHIRUR,SORGUMJAWAR,2014,DECEMBER,180,1479,1643,1588,2014-12,PUNE,MAHARASHTRA,164
0,9875,SILLODBHARADI,BAJRI,2016,OCTOBER,25,1250,1413,1341,2016-10,AURANGABAD,MAHARASHTRA,163
0,10121,SILLODBHARADI,BAJRI,2016,SEPTEMBER,32,1375,1538,1465,2016-09,AURANGABAD,MAHARASHTRA,163
0,19460,PAROLA,BAJRI,2016,FEBRUARY,72,1326,1489,1388,2016-02,JALGAON,MAHARASHTRA,163
0,22423,JALNABADNAPUR,BAJRI,2016,OCTOBER,976,1224,1387,1315,2016-10,JALNA,MAHARASHTRA,163
0,36388,NANDGAON,BAJRI,2016,OCTOBER,2166,1241,1404,1325,2016-10,NASIK,MAHARASHTRA,163
2,15521,RAJURA,COTTON,2016,JANUARY,19337,4370,4533,4498,2016-01,CHANDRAPUR,MAHARASHTRA,163
4,32601,SHAHADA,MAIZE,2016,APRIL,532,1201,1364,1250,2016-04,NANDURBAR,MAHARASHTRA,163
4,60979,KURDWADI,MAIZE,2016,NOVEMBER,2718,1137,1300,1218,2016-11,SOLAPUR,MAHARASHTRA,163
8,37474,TULJAPUR,PIGEON PEA TUR,2016,FEBRUARY,284,7930,8093,8078,2016-02,OSMANABAD,MAHARASHTRA,163
12,3850,SHRIRAMPUR,SORGUMJAWAR,2016,OCTOBER,187,1525,1688,1592,2016-10,AHMADNAGAR,MAHARASHTRA,163
12,4682,AKOLA,SORGUMJAWAR,2016,FEBRUARY,641,1285,1448,1365,2016-02,AKOLA,MAHARASHTRA,163
17,61653,MANMAD,WHEATHUSKED,2016,NOVEMBER,43,2024,2187,2076,2016-11,NASIK,MAHARASHTRA,163
0,3218,KOPARGAON,BAJRI,2015,NOVEMBER,188,1443,1606,1541,2015-11,AHMADNAGAR,MAHARASHTRA,163
2,14380,KHAMGAON,COTTON,2015,NOVEMBER,14468,4041,4204,4153,2015-11,BULDHANA,MAHARASHTRA,163
2,30585,SAVNER,COTTON,2015,NOVEMBER,9000,3929,4092,3961,2015-11,NAGPUR,MAHARASHTRA,163
4,33515,DEVALA,MAIZE,2015,APRIL,2949,1152,1315,1263,2015-04,NASIK,MAHARASHTRA,163
7,12067,TUMSAR,PADDYUNHUSKED,2015,AUGUST,22855,1678,1841,1770,2015-08,BHANDARA,MAHARASHTRA,163
7,15912,MUL,PADDYUNHUSKED,2015,MAY,34852,1877,2040,1959,2015-05,CHANDRAPUR,MAHARASHTRA,163
12,21339,JAFRABAD,SORGUMJAWAR,2015,AUGUST,186,1025,1188,1119,2015-08,JALNA,MAHARASHTRA,163
12,31089,UMARED,SORGUMJAWAR,2015,OCTOBER,40,1575,1738,1650,2015-10,NAGPUR,MAHARASHTRA,163
12,31930,NAIGAON,SORGUMJAWAR,2015,JANUARY,59,1100,1263,1156,2015-01,NANDED,MAHARASHTRA,163
12,36032,NANDGAON,SORGUMJAWAR,2015,NOVEMBER,17,1344,1507,1507,2015-11,NASIK,MAHARASHTRA,163
12,48803,VADUJ,SORGUMJAWAR,2015,FEBRUARY,2700,2100,2263,2181,2015-02,SATARA,MAHARASHTRA,163
17,2697,SHEVGAONBODHEGAON,WHEATHUSKED,2015,MARCH,438,1615,1778,1661,2015-03,AHMADNAGAR,MAHARASHTRA,163
17,4065,KOPARGAON,WHEATHUSKED,2015,SEPTEMBER,1305,1456,1619,1558,2015-09,AHMADNAGAR,MAHARASHTRA,163
17,32436,BHOKAR,WHEATHUSKED,2015,SEPTEMBER,4814,1292,1455,1363,2015-09,NANDED,MAHARASHTRA,163
0,50618,VADUJ,BAJRI,2014,SEPTEMBER,96,1400,1563,1475,2014-09,SATARA,MAHARASHTRA,163
8,39508,PARBHANI,PIGEON PEA TUR,2014,NOVEMBER,26,4556,4719,4631,2014-11,PARBHANI,MAHARASHTRA,163
